id,name,email,admin,password,remember_token,created_at,updated_at
1,Tim,Tim@iew.com,1,$2y$10$BDPAB9Z4dXuu63bSw3aH7OliCoOftKHS881oAQ0GYyVmUe.CjGeZy,3W7qFbZn7qlxCUsLgxONx8z97FEOWXh47boaaeuJsMqShrRShPSJ5TMkHmf0,"2018-04-09 17:46:54","2018-04-09 17:46:54"
2,Pete,Pete@iew.com,1,$2y$10$FN8j1gbYLUwRKcTohCfnKeRSUERLbMgAbWve6ScZr6l9G.fL3gl4G,NULL,"2018-04-09 17:46:54","2018-04-09 17:46:54"
3,Craig,Craig@iew.com,0,$2y$10$Jc5gUzhdMHLD9J0X5Ky7iuazlaH2MNlJRH.0O8Z.BrULGuYPPwBLa,nNvo6TIu0Ko4BvdTGx3JLZSdIf49sSu2j9iVStXAswOKBzGUyziRDzlHhCkk,"2018-04-09 17:46:54","2018-04-09 17:46:54"
4,Joe,Joe@iew.com,0,$2y$10$bA5AQwOq4dT/XRkYhvVOFujTUVx8zoT1brZaCpLmcssuoRUUUOIZa,JBgVpCpeO82yRTfsVuKU3nMeMYUDYuihCl8Ez8jK1abNeA2eeXwvQXcGrs6V,"2018-04-09 17:46:54","2018-04-09 17:46:54"
5,Marie,Marie@iew.com,0,$2y$10$awxTAwjJXjOQAG9Ao8a9kuh5.dv7lYYYEp1q.sP70nd5PIEY/ZNfe,vdfIPcuBwAmevScDpj5PBm2niD1JMHCeSLU7pVUIpm3tWgCEdqk5A2Zjsx14,"2018-04-09 17:46:54","2018-04-09 17:46:54"
6,Thomas,Thomas@iew.com,0,$2y$10$tTycucLfBVBQFrcAOn.nHuGC3/ZYQJxTbfPskY1vDGa.VSMoUc0bu,RdEgqM1MeTG6ok5yyaavdxYljmpbngTwCiBsQfd6iAL2m7lcgMRD5MjqqM3Y,"2018-04-09 17:46:54","2018-04-09 17:46:54"
7,Mark,Mark@iew.com,0,$2y$10$sFTcic1fmEOhjjvVVifLHuIuBtrzipawm9f/BFZtBp37HtA49Ssmm,yvRREOaTnphxR9wwzQP7aphnvwri7wHY5CwYJJGacOhc0wBvyGADprKLG7V7,"2018-04-09 17:46:54","2018-04-09 17:46:54"
8,Daniel,Daniel@iew.com,0,$2y$10$pUzC5ZmHlbN4kMdrp9jIU.yntH2V72nWdwbuyzAd4WUS6zSDRuaBG,wRZGCsK6B8FRsMSpsixcwBgTbSSFZxPm7uVAtgcyepjLhV5hUiZDSwib042W,"2018-04-09 17:46:54","2018-04-09 17:46:54"
9,Jennifer,Jennifer@iew.com,0,$2y$10$suZ2ptvpf6TDJFlzpV8wJ.oew55LKyGpSYAcXjfRHgnRaPpr2mmYq,WKwj6l2TkdTNOArcfCCjTcuNW83E0rHjLGWuQetI8F82MNts5aA8z8aGfSW9,"2018-04-09 17:46:54","2018-04-09 17:46:54"
10,Alan,Alan@iew.com,0,$2y$10$zElkA4bKHrUBoYwUNRa4quvwMbPrcWOiov9qUk65aGluiBV.jkTlm,edr6le7kR1ZGc1oKJrT6CFZfTcszJIjG9xLakEIUAN80x9AHY5rjdeWo4xUX,"2018-04-09 17:46:54","2018-04-09 17:46:54"
11,Michael,Michael@iew.com,0,$2y$10$sVvhUSd.nKRDXwwDY4E4BOUPPeJ48G0b9xN6.nXdZljP9eneWUrE2,jQhGmlRTBSu2X576OoDqZlBCjXOfTB9lHYZvq9IeBrWAHn8O4igmR46Zi3ln,"2018-04-09 17:46:54","2018-04-09 17:46:54"
12,Paul,Paul@iew.com,1,$2y$10$K9SzoyY4.IDeJ8aH6OLN8u3xax.5iRLDSZeMk2OABU5utyxELchqy,NULL,"2018-04-09 17:46:54","2018-04-09 17:46:54"
13,John,John@iew.com,1,$2y$10$v5mEjjBZgBxR5HpmVF7Ftem2Z4pjsBkjUk0CEWztYO80sDd2vs8G2,NULL,"2018-04-09 17:46:54","2018-04-09 17:46:54"
14,Chris,Chris@iew.com,0,$2y$10$EyCCjXPxazGdxUT.2Vvrc.kfxNoPpI2aiRT/zymTbhlDhdjnqrW1O,NULL,"2018-04-09 18:10:47","2018-04-09 18:10:47"
